Title,Release Year,Distributor,Production,Longitude,Latitude
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4266135,37.7608223
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4824726,37.7782823
Quitters,2015,,"Frederick & Ashbury, LLC.",-122.447707,37.7599053
Shang-Chi and the Legend of the Ten Rings,2021,Disney/Marvel,Freelance Restorations LLC,-122.4077005,37.7893542
Rent,2005,Columbia Pictures,Rent Productions LLC,-122.3699786,37.825284
Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),-122.4101808,37.8016649
Chance- Season 1 ep108,2016,HULU,TVM Productions,-122.4052396,37.7920418
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.3987241,37.765027
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4110311,37.7927806
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4336266,37.7793605
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4140253,37.7999239
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,-122.4037515,37.7924396
Boys and Girls,2000,Dimension Films,Punch 21 Productions,-122.4235663,37.8064162
Looking Season 2 ep 208,2015,HBO,"Mission Street Productions, LLC",-122.4100958,37.7752163
The Internship,2013,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corp.,-122.40602,37.79426
Looking Season 2 ep 204,2015,HBO,"Mission Street Productions, LLC",-122.425717,37.76159
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4175714,37.7909544
Godzilla,2014,Warner Bros. Pictures,"Nautilus Productions, LLC",-122.3924358,37.7949305
George of the Jungle,1997,Buena Vista Pictures,Walt Disney Pictures,-122.4029353,37.7945463
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.404479,37.7979773
Take the Money and Run,1969,Cinerama Releasing Corporation,American Broadcasting Company (ABC),-122.4092516,37.7993084
The Competition,1980,American Broadcasting Company (ABC),Columbia Pictures Corporation,-122.4660947,37.7698646
I Am Michael,2015,,That’s Hollywood,-122.43269,37.758031
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4439182,37.8010651
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.408051,37.797015
Dr. Dolittle 2,2001,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4196461,37.8020026
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.4172161,37.8038552
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4685673,37.7698834
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4266135,37.7608223
Tales of the City,2019,Netflix,Universal Television LLC,-122.4089071,37.7994612
DEVS,2020,FX Network,Minim Productions,-122.4117942,37.7510441
Flubber,1997,Buena Vista Pictures,Walt Disney Pictures,-122.3699786,37.825284
The Last Thing He Told Me,2023,Apple TV+,20th Television,-122.3988786,37.7870252
Looking Season 2 ep 207,2015,HBO,"Mission Street Productions, LLC",-122.4381822,37.7205765
The Diary of a Teenage Girl,2015,Sony Pictures Classics,"Diary the Movie, LLC",-122.43489,37.771831
The Caine Mutiny,1954,Columbia Pictures,Stanley Kramer Productions,-122.3976732,37.7992627
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4156675,37.8036989
The Master,2012,Weinstein Company,H.H. Project,-122.3956409,37.7993521
"Budding Prospects, Pilot",2017,Amazon,Picrow Streaming Inc.,-122.4062659,37.7473058
Age of Adaline,2015,,Lionsgate / Sidney Kimmel Entertainment / Lakeshore Entertainment,-122.3897154,37.7827982
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4159684,37.8093037
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4360867,37.7999044
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4058222,37.8023949
Susan Slade,1961,Warner Bros. Pictures,Warner Bros. Pictures,-122.38489,37.773931
The Pursuit of Happyness,2006,Columbia Pictures,Columbia Pictures Corporation,-122.43352,37.73324
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4158539,37.8089795
Milk,2008,Focus Features,Focus Features,-122.4133739,37.7918593
Looking Season 2 ep 210,2015,HBO,"Mission Street Productions, LLC",-122.4232829,37.7722677
Looking Season 2 ep 210,2015,HBO,"Mission Street Productions, LLC",-122.4457286,37.7603405
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.4394712,37.7957417
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.4011224,37.8053489
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4465909,37.7698782
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.3975781,37.7993119
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4252327,37.8050986
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.4602558,37.7726187
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.3959956,37.7624718
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.4134592,37.7982745
The Bachelor,1999,New Line Cinema,George Street Pictures,-122.409141,37.8010729
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.4192417,37.779275
Venom: Let There Be Carnage,2021,Sony Pictures,SM Film Productions,-122.4059214,37.797493
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4019961,37.7888143
Venom: Let There Be Carnage,2021,Sony Pictures,SM Film Productions,-122.4133903,37.7852589
Cardinal X,2015,,Fire Horse Film Productions LLC,-122.4098934,37.7357632
Magnum Force,1973,Warner Bros. Pictures,The Malpaso Company,-122.4148466,37.8060426
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.4035011,37.7663064
Alcatraz,2012,Warner Bros. Television,Bonanza Productions Inc.,-122.4120597,37.7974059
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4285879,37.7678965
Jagged Edge,1985,Columbia Pictures,Columbia Pictures Corp.,-122.4192417,37.779275
Twisted,2004,Paramount Pictures,Paramount Pictures,-122.4205316,37.7795597
Jade,1995,Paramount Pictures,Paramount Pictures,-122.4205316,37.7795597
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,-122.4065996,37.7976052
The Towering Inferno,1974,Twentieth Century - Fox,Irwin Allen Productions,-122.4298716,37.7896875
Chef Dynasty: House of Fang,2022,Food Network,"Quidnet Media, LLC",-122.408083,37.793978
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.3648992,37.8102258
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4121403,37.7922657
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.4135414,37.7812278
Venom: Let There Be Carnage,2021,Sony Pictures,SM Film Productions,-122.4133739,37.7918593
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.401109,37.7894171
Fearless,1993,Warner Bros. Pictures,Spring Creek Productions,-122.4305842,37.7977242
Shoot the Moon,1982,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),-122.4100923,37.7923883
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.4032058,37.7465896
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,-122.4135849,37.8003832
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4274729,37.7517066
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.4037757,37.7752811
I Remember Mama,1948,RKO Radio Pictures,RKO Radio Pictures,-122.3936136,37.7954425
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.412866,37.7863656
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.4704359,37.7700913
Vegas in Space,1992,MCA/Universal Home Video,Troma Entertainment,-122.426386,37.774738
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4027468,37.7950185
The Wedding Planner,2001,Sony Pictures Entertainment,Columbia Pictures,-122.3956409,37.7993521
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.4037466,37.7873862
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.3963183,37.7939438
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.3916757,37.7919897
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.4238583,37.7231216
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4297042,37.7694834
The Bachelor,1999,New Line Cinema,George Street Pictures,-122.4021715,37.792255
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.4068124,37.7975023
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.3964729,37.7936658
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.411551,37.7637026
Looking Season 2 ep 204,2015,HBO,"Mission Street Productions, LLC",-122.4161084,37.7859698
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4094738,37.7835718
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.393516,37.7614916
I Remember Mama,1948,RKO Radio Pictures,RKO Radio Pictures,-122.4069694,37.797483
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4354137,37.7624058
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4307999,37.772151
Milk,2008,Focus Features,Focus Features,-122.4192417,37.779275
Chance - Season 1 Pilot,2016,HULU,TVM Productions,-122.4092654,37.7934919
Chance - Season 1 ep105,2016,HULU,TVM Productions,-122.4053532,37.7882182
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4354437,37.7620262
Sweet November,2001,Warner Bros. Pictures,Warner Bros. Pictures,-122.4266135,37.7608223
Sister Act 2: Back in the Habit,1993,Buena Vista Pictures,Touchstone Pictures,-122.4239199,37.806437
What's Up Doc?,1972,Warner Bros. Pictures,Warner Bros. Pictures,-122.4104463,37.7857289
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4164573,37.7578291
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.4102464,37.8007752
"Looking ""Special""",2016,HBO,"Mission Street Productions, LLC",-122.4070784,37.794012
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.443956,37.7669343
Chance- Season 1 ep106,2016,HULU,TVM Productions,-122.3699786,37.825284
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.4137353,37.8027511
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.403408,37.7853
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.3691522,37.7406735
Parks and Recreation,2014,"NBC Universal Media, LLC","NBC Universal Media, LLC",-122.4086745,37.799223
God is a Communist?* (show me heart universe),2010,,Trismegistus Productions,-122.4292858,37.7903895
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.405533,37.7966713
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.4038363,37.7969649
Class Action,1991,Twentieth Century Fox Film Corp.,Interscope Communications,-122.4029373,37.7968711
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.395642,37.7976602
Foul Play,1978,Paramount Pictures,Paramount Pictures,-122.4080699,37.7844406
Romeo Must Die,2000,Warner Bros. Pictures,Silver Pictures,-122.3990319,37.8009724
Looking Season 2 ep 204,2015,HBO,"Mission Street Productions, LLC",-122.443956,37.7669343
Basic Instinct,1992,TriStar Pictures,Carolco Pictures,-122.4085557,37.7768244
Chance- Season 1 ep104,2016,HULU,TVM Productions,-122.3979675,37.7297605
Bullitt,1968,Warner Brothers,Warner Brothers / Seven Arts Seven Arts,-122.4056449,37.7981294
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.4152298,37.8052723
Dreams,2025,The Match Factory GmbH,Suenos Productions LLC,-122.4158434,37.7823107
The Bachelor,1999,New Line Cinema,George Street Pictures,-122.40905,37.799277
About a Boy,2014,National Broadcasting Company,NBC Studios,-122.437937,37.7745168
Shit and Champagne,2020,,"Shaboom Boom, LLC",-122.4256018,37.7825651
Serial,1980,Paramount Pictures,Paramount Pictures,-122.3936136,37.7954425
Sneakers,1992,Universal Pictures,Universal Pictures,-122.389862,37.789873
Live Nude Girls Unite,2000,First Run Features,Constant Communication,-122.4056495,37.7976117
Chance- Season 1 ep103,2016,HULU,TVM Productions,-122.4568847,37.7490613
DEVS,2020,FX Network,Minim Productions,-122.4111093,37.801299
When We Rise,2017,Amercian Broadcasting Company,Film 49 Productions,-122.4431784,37.7703713
Hereafter,2010,Warner Bros. Pictures,GT Films,-122.4016184,37.789466
Steve Jobs,2015,Universal Pictures,RDF Productions LLC,-122.40488,37.7963942
This Is Us,2022,NBC,20th Television,-122.4040634,37.7981354
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.397348,37.8016649
Vegas in Space,1992,MCA/Universal Home Video,Troma Entertainment,-122.4449921,37.7988229
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.3940353,37.7815501
The Bachelor,1999,New Line Cinema,George Street Pictures,-122.4152538,37.8053227
Patty Hearst,1988,Atlantic Releasing Corporation,Atlantic Entertainment Group,-122.4985965,37.7754416
Joy Luck Club,1993,National Broadcasting Company (NBC),Hollywood Pictures,-122.4068458,37.7942041
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4363113,37.7136213
Jade,1995,Paramount Pictures,Paramount Pictures,-122.4484231,37.8029308
Need For Speed,2014,Walt Disney Studios Motion Pictures,"Need For Speed Productions, LLC",-122.4086079,37.7873909
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,-122.4810057,37.7923841
The Rock,1996,Buena Vista Pictures,Hollywood Pictures,-122.4491285,37.8026694
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.3972152,37.7905027
Surface,2022,Apple TV+,"Apple Studios, LLC",-122.4384872,37.7701519
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4334276,37.7608571
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.3998262,37.7946507
DEVS,2020,FX Network,Minim Productions,-122.4266135,37.7608223
Patty Hearst,1988,Atlantic Releasing Corporation,Atlantic Entertainment Group,-122.4327231,37.7760676
When a Man Loves a Woman,1994,Buena Vista Pictures,Touchstone Pictures,-122.4068574,37.7969137
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.4087206,37.7877854
Sister Act 2: Back in the Habit,1993,Buena Vista Pictures,Touchstone Pictures,-122.4058222,37.8023949
Chance - Season 1 ep105,2016,HULU,TVM Productions,-122.4151417,37.788739
Mrs. Doubtfire,1993,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,-122.4133194,37.7943726
Summertime,2015,01 Distribution,"Creative Monster Productions, Inc.",-122.409821,37.808673
Milk,2008,Focus Features,Focus Features,-122.3977242,37.786052
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4147491,37.7795066
Milk,2008,Focus Features,Focus Features,-122.4048082,37.7944675
Chance- Season 1 ep107,2016,HULU,TVM Productions,-122.4324326,37.7701803
Common Threads: Stories From the Quilt,1989,Direct Cinema Limited,Home Box Office (HBO),-122.435033,37.7608937
Summertime,2015,7 Distribution,"Creative Monster Productions, Inc.",-122.4345097,37.7754224
George of the Jungle,1997,Buena Vista Pictures,Walt Disney Pictures,-122.4097554,37.7984704
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,-122.401987,37.7888172
The Matrix Resurrections,2021,Warner Brothers,"Adobe Pictures, Inc.",-122.401906,37.7897312
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4141338,37.7914145
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4302866,37.7711831
Dope Queens,2025,TBD,TomorrowLand Productions Co Inc.,-122.4170528,37.7882309
Sweet November,2001,Warner Bros. Pictures,Warner Bros. Pictures,-122.3960369,37.7627985
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.396797,37.793527
Looking Season 2 ep 204,2015,HBO,"Mission Street Productions, LLC",-122.4238729,37.7922528
Bedazzled,2000,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4102464,37.8007752
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4084815,37.7933133
Chef Dynasty: House of Fang,2022,Food Network,"Quidnet Media, LLC",-122.4161985,37.7801637
Junior,1994,Universal Pictures,Northern Lights Entertainment,-122.4160276,37.806191
Take the Money and Run,1969,Cinerama Releasing Corporation,American Broadcasting Company (ABC),-122.482977,37.7689203
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4114139,37.7856667
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.3956409,37.7993521
Magnum Force,1973,Warner Bros. Pictures,The Malpaso Company,-122.3976732,37.7992627
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4166513,37.758967
"Goodbye, Mr.Chips",,,,-122.3658344,37.8193829
Looking Season 2 ep 204,2015,HBO,"Mission Street Productions, LLC",-122.4334023,37.7608846
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.411044,37.7919072
Goliath,2021,Amazon Prime Video,Amazon Studios,-122.4117847,37.7945925
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.3892168,37.7784136
The Towering Inferno,1974,Twentieth Century - Fox,Irwin Allen Productions,-122.4100923,37.7923883
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.3648992,37.8102258
A Smile Like Yours,1997,Paramount Pictures,Paramount Pictures,-122.39737,37.7932009
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4113279,37.8008675
Interview With The Vampire,1994,Geffen Pictures,Geffen Pictures,-122.4114343,37.781227
40 Days and 40 Nights,2002,Miramax Films,Miramax Films,-122.4433186,37.7694065
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.3896032,37.7729525
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.415856,37.782621
"Smile Again, Jenny Lee",2015,,Carlo Caldana/Marguery Films,-122.4192417,37.779275
High Crimes,2002,Twentieth Century Fox Corporation,Twentieth Century Fox Corporation,-122.393267,37.76163
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,-122.439016,37.8066961
The OA Part II,2019,Netflix,Lunar Mining LLC,-122.4732299,37.7562439
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.3829866,37.7562813
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.401109,37.7894171
Venom: Let There Be Carnage,2021,Sony Pictures,SM Film Productions,-122.483638,37.7935724
Jagged Edge,1985,Columbia Pictures,Columbia Pictures Corp.,-122.4785598,37.8199109
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4268969,37.7643873
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4155073,37.8083487
Boys and Girls,2000,Dimension Films,Punch 21 Productions,-122.3936136,37.7954425
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.40779,37.79381
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4203163,37.7784816
Super Pumped: The Battle for Uber,2022,Showtime,Possible Productions,-122.3965516,37.7625922
The Lady from Shanghai,1947,Columbia Pictures,Columbia Pictures Corp.,-122.4661345,37.7695812
Love & Taxes,2014,,Bad Company Films,-122.4224662,37.7749363
Looking Season 2 ep 203,2015,HBO,"Mission Street Productions, LLC",-122.4126175,37.758168
Dr. Dolittle 2,2001,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4207889,37.7755172
Big Eyes,2014,Weinstein Company,Blink & Wink Productions,-122.4335403,37.7883758
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.4241318,37.7824801
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.4071135,37.7959798
Innerspace,1987,Warner Bros. Pictures,Amblin Entertainment,-122.4103924,37.7915528
The Lineup,1958,Columbia Pictures,Pajemer Productions,-122.4103924,37.7915528
George of the Jungle,1997,Buena Vista Pictures,Walt Disney Pictures,-122.3648992,37.8102258
The Game,1997,Polygram Filmed Entertainment,Polygram Filmed Entertainment,-122.4089604,37.7734395
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4106977,37.7528277
Venom,2018,"Columbia Pictures, Sony Pictures Releasing","L.O.Z. Productions, Inc.",-122.4061681,37.7951101
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.3892168,37.7784136
"Murder in the First, Season 3",2016,Turner Network Television (TNT),Turner North Center Productions,-122.3874201,37.7872065
Vegas in Space,1992,MCA/Universal Home Video,Troma Entertainment,-122.408787,37.7795202
Goliath- Season 4,2021,Amazon Studios,"Picrow, Inc.",-122.4066473,37.7998065
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.434819,37.7763694
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4785598,37.8199109
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.4044008,37.7991483
Looking Season 2 ep 210,2015,HBO,"Mission Street Productions, LLC",-122.4195427,37.7552119
Tales of the City,2019,Netflix,Universal Television LLC,-122.4219564,37.764908
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.4132118,37.7527686
Pushing Dead,2016,TBD,"Pushing Dead , LLC",-122.3888802,37.758393
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4058515,37.7928619
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.4322231,37.7548356
Outerlands,2025,Wolfe Video,"Vajra Films, LLC",-122.497202,37.775781
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4208039,37.7894811
All About Eve,1950,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,-122.4106277,37.7868283
The Conversation,1974,Paramount Pictures,American Zoetrope,-122.4066183,37.787552
Summertime,2015,9 Distribution,"Creative Monster Productions, Inc.",-122.4012161,37.7980022
"Murder in the First, Season 1",2014,Turner Network Television (TNT),Turner North Center Productions,-122.4179462,37.8053237
Ant-Man,2015,Walt Disney Studios Motion Pictures,"PYM Particles Productions, LLC",-122.3975554,37.7926206
Birth of the Dragon,2016,Kylin Pictures,"BOTD U.S. Productions, Inc.",-122.4108465,37.7918448
Birth of the Dragon,2016,Kylin Pictures,"BOTD U.S. Productions, Inc.",-122.4178564,37.8109433
The Lineup,1958,Columbia Pictures,Pajemer Productions,-122.3976732,37.7992627
Looking Season 2 ep 203,2015,HBO,"Mission Street Productions, LLC",-122.4446117,37.7269226
Blue Jasmine,2013,Sony Pictures Classics,Perdido Productions,-122.4166188,37.7607321
Nash Bridges,2021,USA Nework,"Village NB Productions, LLC",-122.3974229,37.8001877
Fremont,2023,Music Box Films,Fremont The Movie LLC,-122.4059508,37.7924681
Joy Luck Club,1993,National Broadcasting Company (NBC),Hollywood Pictures,-122.4143844,37.7996653
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,-122.3936136,37.7954425
Invasion of the Body Snatchers,1978,United Artists,Solofilm,-122.4138875,37.7835785
The Lineup,1958,Columbia Pictures,Pajemer Productions,-122.4661345,37.7695812
What's Up Doc?,1972,Warner Bros. Pictures,Warner Bros. Pictures,-122.4048082,37.7944675
Always Be My Maybe,2019,Netflix,"Isla Productions, LLC",-122.47709,37.8106117
Ant-Man and the Wasp,2018,Walt Disney Studios Motion Pictures,"PYM Particles Productions II, LLC",-122.3965516,37.7625922
Sense8,2015,Netflix,"Unpronounceable Productions, LLC",-122.4351232,37.7632816
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.4044311,37.7907271
The Phone/Jexi,2019,Lionsgate,CBS Films Inc.,-122.404402,37.7998462
Basic Instinct,1992,TriStar Pictures,Carolco Pictures,-122.4661345,37.7695812
Dark Passage,1947,Warner Bros. Pictures,Warner Bros. Pictures,-122.4785598,37.8199109
Venom: Let There Be Carnage,2021,Sony Pictures,SM Film Productions,-122.4058222,37.8023949
Chef Dynasty: House of Fang,2022,Food Network,"Quidnet Media, LLC",-122.4053898,37.7964791
Vertigo,1958,Paramount Pictures,Alfred J. Hitchcock Productions,-122.47709,37.8106117
Ant-Man and the Wasp: Quantumania,2023,Walt Disney Studios Motion Pictures,Pym Particles Production III LLC,-122.4152873,37.7865402
Looking,2014,Home Box Office (HBO),"Mission Street Productions, LLC",-122.4026141,37.778123
So I Married an Axe Murderer,1993,TriStar Pictures,TriStar Pictures,-122.4065082,37.7974835
Experiment in Terror,1962,Columbia Pictures,Columbia Pictures Corporation,-122.4159393,37.8081009
The Enforcer,1976,Warner Bros. Pictures,Warner Bros. Pictures,-122.4230122,37.8266636
Terminator - Genisys,2015,Paramount Pictures,T5 Productions LLC,-122.3961223,37.7935438
Ant-Man,2015,Walt Disney Studios Motion Pictures,"PYM Particles Productions, LLC",-122.4102464,37.8007752
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.3919317,37.7551731
Magnum Force,1973,Warner Bros. Pictures,The Malpaso Company,-122.4149779,37.7966511
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,-122.4052341,37.7948896
Chance Season 2,2017,Hulu,TVM Productions Inc.,-122.4491285,37.8026694
A Man on The Inside,2024,Netflix,"Universal Television, LLC",-122.4141338,37.7914145
Etruscan Smile,2017,TBD,"Po Valley Productions, LLC",-122.409821,37.808673
Sense8 - Season 2,2016,Netflix,"Unpronounceable Productions, LLC",-122.4133739,37.7918593
GirlBoss,2017,Netflix,"Hippolyta Productions, LLC",-122.4055417,37.7988787
Time After Time,1979,Columbia Broadcasting System (CBS),Orion Pictures Corp.,-122.4491285,37.8026694
Summertime,2015,8 Distribution,"Creative Monster Productions, Inc.",-122.4515753,37.7594754
Maintenance Required,2025,Amazon MGM Studios,ROUKYA FILMS,-122.4465763,37.7935663
Looking Season 2 ep 210,2015,HBO,"Mission Street Productions, LLC",-122.4195684,37.7653618
Chance- Season 1 ep106,2016,HULU,TVM Productions,-122.4138471,37.7808585
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.4144966,37.7921479
A Taiwanese Tale of Two Cities,2018,Netflix,Envision Productions Inc.,-122.4176986,37.7794929
I’m A Virgo,2023,Prime Video,Bing Bang Productions Inc,-122.404741,37.794699
Maintenance Required,2025,Amazon MGM Studios,ROUKYA FILMS,-122.40638,37.79783
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4174374,37.778145
Star Trek IV: The Voyage Home,1986,Paramount Pictures,Paramount Pictures,-122.4785598,37.8199109
San Andreas,2015,Warner Bros.,"Upside Down Productions, Inc.",-122.4133446,37.8092691
Sister Act,1992,Buena Vista Pictures,Touchstone Pictures,-122.4269434,37.7442642
"Murder in the First, Season 2",2015,Turner Network Television (TNT),Turner North Center Productions,-122.3952588,37.7967391
Contagion,2011,Warner Bros. Pictures,The Keres Corporation,-122.4259985,37.7759402
The Last Black Man in San Francisco,2019,A24,"LBMISF, LLC",-122.3756118,37.7314866
Nine Months,1995,Twentieth Century Fox Film Corp.,1492 Pictures,-122.4034548,37.7681477
"Play it Again, Sam",1972,Paramount Pictures,Paramount Pictures,-122.4812701,37.776455
Chance- Season 1 ep107,2016,HULU,TVM Productions,-122.4428,37.76582
